NAME,RADEG,DEDEG,CZ,LOGMSTAR,MODELU_RCORR,R90,MORPHEL,GRPCZ,FC,LOGMH,DEN1MPC
ECO00001,139.374,25.966,6454.9,10.73,1.48,33.7,L,6454.9,1,12.17,0.54
ECO00002,185.078,8.533,4338.9,9.37,1.06,17.3,L,4293.3,1,11.21,0.65
ECO00003,144.112,9.606,5443.5,8.19,0.87,21.6,L,5425.4,0,11.14,1.03
ECO00004,144.992,9.179,6374.6,8.45,0.88,10.0,L,6374.6,1,10.77,0.31
ECO00005,145.612,10.219,5713.0,8.79,1.4,7.7,E,5713.0,1,10.77,0.64
ECO00006,148.788,5.728,6962.2,8.31,0.95,9.9,L,6962.2,1,10.77,0.37
ECO00007,149.419,10.124,5230.4,8.39,1.2,17.8,L,5230.4,1,10.76,1.52
ECO00008,155.82,9.225,4580.1,8.43,0.95,21.5,L,4580.1,1,10.76,0.32
ECO00009,160.641,10.622,6383.6,8.57,1.22,9.9,L,6383.6,1,10.75,0.41
ECO00010,185.603,9.488,4580.4,8.51,1.09,17.4,L,4580.4,1,10.78,0.2
ECO00011,160.75,11.073,5824.9,9.09,1.2,30.0,L,5824.9,1,10.85,0.22
ECO00012,162.755,12.26,6141.2,8.69,1.27,18.9,L,6163.8,0,11.14,0.43
ECO00013,163.182,7.447,6613.3,8.53,0.82,16.4,L,6613.3,1,10.78,0.72
ECO00014,164.61,6.546,6425.6,8.61,0.9,21.7,L,6425.6,1,10.78,0.9
ECO00015,166.903,5.56,6651.7,8.55,0.97,15.7,L,6651.7,1,10.77,0.95
ECO00016,169.1,11.103,5850.1,8.65,1.38,7.9,E,5803.2,0,11.24,0.78
ECO00017,169.37,11.714,6137.8,8.39,0.7,10.4,L,6137.8,1,10.77,0.37
ECO00018,169.854,11.408,6132.3,8.65,0.85,15.0,L,6132.3,1,10.78,0.34
ECO00019,186.609,6.708,4105.3,8.65,1.21,39.4,L,4105.3,1,10.81,0.78
ECO00020,170.487,10.499,4345.7,8.23,0.75,9.0,E,4345.7,1,10.76,0.16
ECO00021,175.882,8.909,6250.7,8.63,1.6,12.1,L,6288.2,0,12.89,2.57
ECO00022,175.93,11.151,6083.2,8.65,1.07,17.2,L,6083.2,1,10.76,1.85
ECO00023,176.267,10.911,5906.5,8.39,1.23,11.6,L,5906.5,1,10.76,1.45
ECO00024,177.383,10.601,6376.0,8.67,1.26,23.8,L,6376.0,1,10.82,1.83
ECO00025,178.854,10.201,3051.6,8.65,0.83,49.5,L,3051.6,1,10.85,0.5
ECO00026,194.998,27.941,6110.2,8.85,1.15,20.2,E,6589.0,0,14.45,13.16
ECO00027,182.318,10.948,4423.7,8.41,0.76,8.6,E,4423.7,1,10.75,0.29
ECO00028,184.446,4.783,6888.4,8.23,1.08,9.2,L,6888.4,1,10.76,0.45
ECO00029,193.04,15.082,6442.1,8.25,0.7,7.1,L,6406.9,0,10.9,0.58
ECO00030,201.816,4.209,6915.2,8.35,0.86,5.6,L,6915.2,1,10.77,0.77
ECO00031,204.262,4.93,6839.0,8.49,1.13,17.9,L,6839.0,1,10.9,4.65
ECO00032,204.726,4.131,6528.1,8.49,1.02,13.8,L,6528.1,1,10.77,0.89
ECO00033,205.177,4.813,6757.5,8.69,1.05,22.5,L,6787.3,0,12.13,4.75
ECO00034,209.232,11.375,6789.8,8.31,0.81,6.9,L,6669.0,0,11.11,0.98
ECO00035,234.194,7.834,3379.1,8.47,0.77,9.7,L,3379.1,1,10.78,0.22
ECO00036,211.427,12.074,4599.4,8.31,0.85,18.7,L,4599.4,1,10.76,0.85
ECO00037,212.073,12.468,4199.6,8.25,0.77,10.2,E,4199.6,1,10.75,0.77
ECO00038,145.59,5.996,5710.7,8.47,1.08,13.8,L,5710.7,1,10.76,0.42
ECO00039,140.383,11.347,5533.4,8.35,0.96,22.2,L,5533.4,1,10.81,0.16
ECO00040,146.46,8.91,5067.3,8.35,1.04,24.4,L,5067.3,1,10.81,0.8
ECO00041,149.448,4.521,6395.9,8.75,1.35,15.8,L,6395.9,1,10.81,0.37
ECO00042,165.475,4.047,6532.7,8.47,1.31,17.2,L,6532.7,1,10.77,1.56
ECO00043,166.673,4.444,6014.8,8.63,1.29,27.0,L,6014.8,1,10.83,0.71
ECO00044,169.279,12.925,5802.6,8.51,0.69,18.5,L,5859.9,0,11.07,0.84
ECO00045,176.094,13.01,6382.4,8.47,1.0,12.7,L,6382.4,1,10.74,0.26
ECO00046,195.219,27.805,6842.3,9.07,1.6,23.7,L,6589.0,0,14.45,16.73
ECO00047,177.947,11.821,6355.4,8.51,1.2,30.9,L,6355.4,1,10.83,1.35
ECO00048,180.652,4.55,5530.5,8.53,0.99,11.3,L,5530.5,1,10.78,0.83
ECO00049,184.566,11.227,4661.0,8.51,1.18,25.5,L,4661.0,1,10.77,0.2
ECO00050,205.644,4.529,6843.5,8.55,1.07,13.7,L,6798.5,0,11.33,4.46
ECO00051,206.528,12.038,6812.4,8.49,0.68,14.0,L,6812.4,1,10.79,0.55
ECO00052,207.008,10.951,6853.7,8.61,0.93,13.5,L,6853.7,1,10.78,0.44
ECO00053,175.806,12.495,6208.7,8.69,1.84,15.1,L,6208.7,1,10.78,0.52
ECO00054,154.889,13.04,6810.3,8.27,0.96,13.0,L,6810.3,1,10.77,0.82
ECO00055,160.037,9.275,5295.7,8.59,0.81,19.2,L,5295.7,1,10.78,0.16
ECO00056,194.852,27.517,5914.2,8.91,1.63,9.5,E,6017.0,0,12.08,3.21
ECO00057,167.324,5.093,6759.1,8.35,0.87,22.2,L,6712.5,0,11.03,1.37
ECO00058,184.793,9.814,6295.6,8.51,0.83,17.5,L,6295.6,1,10.78,0.3
ECO00059,172.297,11.866,3065.7,8.67,0.9,41.0,L,3090.3,0,11.03,0.79
